iter	Passed	Remaining
0	153	15233
1	155	7631
2	157	5086
3	158	3803
4	160	3040
5	161	2531
6	165	2192
7	166	1916
8	168	1699
9	169	1525
10	170	1379
11	171	1257
12	172	1154
13	173	1065
14	174	987
15	175	919
16	175	858
17	176	804
18	177	757
19	178	714
20	179	674
21	180	638
22	180	605
23	181	575
24	182	546
25	182	519
26	183	495
27	183	472
28	184	450
29	184	430
30	185	412
31	185	394
32	186	378
33	186	362
34	187	347
35	187	333
36	188	320
37	188	308
38	189	296
39	189	284
40	190	273
41	190	263
42	191	253
43	192	244
44	193	235
45	193	227
46	194	218
47	194	210
48	195	203
49	195	195
50	196	188
51	196	181
52	197	174
53	197	168
54	197	161
55	198	155
56	198	150
57	199	144
58	199	138
59	200	133
60	200	128
61	201	123
62	201	118
63	202	113
64	202	109
65	203	104
66	203	100
67	204	96
68	204	92
69	205	88
70	206	84
71	206	80
72	207	76
73	208	73
74	208	69
75	209	66
76	209	62
77	210	59
78	210	55
79	211	52
80	211	49
81	212	46
82	212	43
83	213	40
84	213	37
85	214	34
86	214	32
87	215	29
88	215	26
89	216	24
90	216	21
91	217	18
92	217	16
93	218	13
94	218	11
95	219	9
96	219	6
97	220	4
98	220	2
99	221	0
